,Thu 2,Thu 3,Thu 4,Thu 5,Thu 6,Thu 7
Tiet 1,,DD (2),OOP (8),,,
Tiet 2,,DD (2),OOP (8),,,
Tiet 3,,DD (2),OOP (8),KTMLN (11),,
Tiet 4,,DD (2),OOP (8),KTMLN (11),,
Tiet 5,,DD (2),OOP (8),KTMLN (11),,
Tiet 6,,,QP1 (2),OOP (8),,
Tiet 7,,,QP1 (2),OOP (8),,
Tiet 8,,TA3 (3),QP1 (2),OOP (8),,
Tiet 9,,TA3 (3),QP1 (2),,,
Tiet 10,,TA3 (3),,,,

Ma mon,TEN,NHOM,THU,TIET BAT DAU,SO TIET,CO SO
861302,KTMLN,11,5,3,3,C
841044,OOP,8,4,1,2,C
841044,OOP,8,4,3,3,C
841044,OOP,8,5,6,3,C
866403,TA3,3,3,8,3,C
862406,QP1,2,4,6,4,C
841461,DD,2,3,1,3,C
841461,DD,2,3,4,2,C
