,Thu 2,Thu 3,Thu 4,Thu 5,Thu 6,Thu 7
Tiet 1,QP1 (10),,TA3 (10),TA3 (10),,DD (3)
Tiet 2,QP1 (10),,TA3 (10),TA3 (10),,DD (3)
Tiet 3,QP1 (10),OOP (9),,,,DD (3)
Tiet 4,QP1 (10),OOP (9),,,,DD (3)
Tiet 5,,OOP (9),,,,DD (3)
Tiet 6,,,OOP (9),KTMLN (9),,
Tiet 7,,,OOP (9),KTMLN (9),,
Tiet 8,,,OOP (9),KTMLN (9),,
Tiet 9,,,OOP (9),,,
Tiet 10,,,OOP (9),,,

Ma mon,TEN,NHOM,THU,TIET BAT DAU,SO TIET,CO SO
861302,KTMLN,9,5,6,3,C
841044,OOP,9,4,6,3,C
841044,OOP,9,4,9,2,C
841044,OOP,9,3,3,3,C
866403,TA3,10,4,1,2,c
866403,TA3,10,5,1,2,C
862406,QP1,10,2,1,4,C
841461,DD,3,7,1,3,C
841461,DD,3,7,4,2,C
