,Thu 2,Thu 3,Thu 4,Thu 5,Thu 6,Thu 7
Tiet 1,QP1 (10),,,,OOP (15),KTMLN (7)
Tiet 2,QP1 (10),,,,OOP (15),KTMLN (7)
Tiet 3,QP1 (10),,,,,KTMLN (7)
Tiet 4,QP1 (10),,,,,
Tiet 5,,,,,,
Tiet 6,,,OOP (15),,DD (1),
Tiet 7,,,OOP (15),,DD (1),
Tiet 8,,TA3 (3),OOP (15),,DD (1),
Tiet 9,,TA3 (3),OOP (15),,DD (1),
Tiet 10,,TA3 (3),OOP (15),,DD (1),

Ma mon,TEN,NHOM,THU,TIET BAT DAU,SO TIET,CO SO
861302,KTMLN,7,7,1,3,C
841044,OOP,15,4,9,2,C
841044,OOP,15,6,1,2,C
841044,OOP,15,4,6,3,C
866403,TA3,3,3,8,3,C
862406,QP1,10,2,1,4,C
841461,DD,1,6,6,3,c
841461,DD,1,6,9,2,C
