,Thu 2,Thu 3,Thu 4,Thu 5,Thu 6,Thu 7
Tiet 1,QP1 (10),DD (2),,,,
Tiet 2,QP1 (10),DD (2),,,,
Tiet 3,QP1 (10),DD (2),,,,
Tiet 4,QP1 (10),DD (2),,,,
Tiet 5,,DD (2),,,,
Tiet 6,,,,,OOP (14),
Tiet 7,,,,,OOP (14),
Tiet 8,,TA3 (3),KTMLN (4),,OOP (14),
Tiet 9,OOP (14),TA3 (3),KTMLN (4),,OOP (14),
Tiet 10,OOP (14),TA3 (3),KTMLN (4),,OOP (14),

Ma mon,TEN,NHOM,THU,TIET BAT DAU,SO TIET,CO SO
861302,KTMLN,4,4,8,3,C
841044,OOP,14,2,9,2,C
841044,OOP,14,6,9,2,C
841044,OOP,14,6,6,3,C
866403,TA3,3,3,8,3,C
862406,QP1,10,2,1,4,C
841461,DD,2,3,1,3,C
841461,DD,2,3,4,2,C
