,Thu 2,Thu 3,Thu 4,Thu 5,Thu 6,Thu 7
Tiet 1,,DD (2),TA3 (10),TA3 (10),,
Tiet 2,,DD (2),TA3 (10),TA3 (10),,
Tiet 3,,DD (2),,,,
Tiet 4,,DD (2),,,,
Tiet 5,,DD (2),,,,
Tiet 6,,,QP1 (2),KTMLN (9),OOP (14),
Tiet 7,,,QP1 (2),KTMLN (9),OOP (14),
Tiet 8,,,QP1 (2),KTMLN (9),OOP (14),
Tiet 9,OOP (14),,QP1 (2),,OOP (14),
Tiet 10,OOP (14),,,,OOP (14),

Ma mon,TEN,NHOM,THU,TIET BAT DAU,SO TIET,CO SO
861302,KTMLN,9,5,6,3,C
841044,OOP,14,2,9,2,C
841044,OOP,14,6,9,2,C
841044,OOP,14,6,6,3,C
866403,TA3,10,4,1,2,c
866403,TA3,10,5,1,2,C
862406,QP1,2,4,6,4,C
841461,DD,2,3,1,3,C
841461,DD,2,3,4,2,C
